date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:06:42	13374/13374	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Aug%202023%2010:54:50%20GMT	https://uae.citizenshop.me/robots.txt		(from )
04:06:43	142621/142621	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:54:50%20GMT	https://uae.citizenshop.me/	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/index.html	(from )
04:06:43	93435/93435	---M--	200	added ('OK')	application/javascript	date:Mon,%2031%20Jul%202017%2009:09:11%20GMT	https://citizenshop.me/assets/js/jquery.min.js	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/js/jquery.min.js	(from https://uae.citizenshop.me/)
04:06:44	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2004%20Aug%202023%2011:06:44%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/https___uae.citizenshop.me_/www.googletagmanager.com/gtm.15445.delayed	(from https://uae.citizenshop.me/)
04:06:44	29068/29068	---M--	200	added ('OK')	text/css	date:Mon,%2031%20Jul%202017%2009:08:20%20GMT	https://uae.citizenshop.me/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/assets/css/font-awesome.min.css	(from https://uae.citizenshop.me/)
04:06:44	169424/169424	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Dec%202022%2011:38:18%20GMT	https://citizenshop.me/assets/css/style.css	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/css/style.css	(from https://uae.citizenshop.me/)
04:06:45	5676/5676	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Oct%202017%2016:13:22%20GMT	https://citizenshop.me/assets/css/jquery.bxslider.css	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/css/jquery.bxslider.css	(from https://uae.citizenshop.me/)
04:06:45	25949/25949	---M--	200	added ('OK')	text/css	date:Sun,%2001%20Oct%202017%2013:55:14%20GMT	https://citizenshop.me/assets/css/aos.css	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/css/aos.css	(from https://uae.citizenshop.me/)
04:06:45	1536/1536	---M--	200	added ('OK')	text/css	date:Mon,%2023%20May%202022%2012:30:14%20GMT	https://citizenshop.me/assets/css/menu.css	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/css/menu.css	(from https://uae.citizenshop.me/)
04:06:45	3647/3647	---M--	200	added ('OK')	text/css	date:Mon,%2031%20Jul%202017%2009:08:20%20GMT	https://citizenshop.me/assets/css/ion.rangeSlider.css	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/css/ion.rangeSlider.css	(from https://uae.citizenshop.me/)
